datetime,temp,humidity,rainfall,windspeed,FLOOD
2024-06-21,24.5,52.3,4.17,22.0,0
2024-06-22,23.6,64.9,29.17,11.9,0
2024-06-23,23.9,71.2,54.17,10.1,0
2024-06-24,23.5,75.5,66.67,11.9,0
2024-06-25,23.8,75.9,79.17,6.5,0
2024-06-26,23.0,83.1,75.0,6.1,0
2024-06-27,20.2,92.5,58.33,6.1,0
2024-06-28,21.5,83.3,29.17,6.5,0
2024-06-29,22.6,85.6,83.33,6.1,0
2024-06-30,22.6,86.5,70.83,7.6,0
2024-07-01,23.0,85.3,79.17,6.1,0
2024-07-02,22.8,87.7,83.33,5.4,0
2024-07-03,20.8,94.7,70.83,5.8,0
2024-07-04,21.7,90.1,83.33,5.0,0
2024-07-05,19.9,93.0,83.33,7.6,0
2024-07-06,18.7,98.2,83.33,6.5,0
2024-07-07,17.6,98.9,83.33,11.4,0
